Feature,Importance
hit_number,37.660931017146815
visit_number,14.896352280949719
brand,5.343956896062904
utm_medium,5.280149783429036
device_category,4.8748129228669725
hit_month,3.659906363692982
hit_day,3.236597865106369
device_browser,3.041560166243634
model,2.930964547346461
visit_month,2.6962951917304263
hour,2.624320814055905
geo_city,2.5674658691248
device_brand,2.092069413073516
device_screen_resolution,1.8381691779155847
minute,1.6252724376268888
second,1.551909908855241
visit_day,1.4307724540790978
geo_country,1.0779549210430237
hit_dayofweek,0.7861972823255619
visit_dayofweek,0.5959325083757643
hit_is_weekend,0.1572482792204717
visit_is_weekend,0.03115989972891231
hit_year,0.0
visit_year,0.0
