iter	Passed	Remaining
131	141425	394277
132	142670	393684
133	143771	392689
134	144537	390786
135	145672	389887
136	146693	388685
137	147865	387879
138	148892	386692
139	150058	385863
140	151128	384788
141	151912	382991
142	153245	382578
143	154657	382347
144	155767	381361
145	157025	380733
146	158123	379710
147	159139	378494
148	160219	377430
149	161492	376814
150	162462	375493
151	163558	374462
152	164593	373292
153	165615	372097
154	166696	371033
155	167852	370136
156	169196	369646
157	170281	368583
158	171589	368000
159	172802	367206
160	174043	366464
161	175081	365293
162	176117	364119
163	177248	363143
164	178124	361647
165	179266	360693
166	180382	359684
167	181284	358253
168	182490	357423
169	183415	356041
170	184820	355590
171	185927	354560
172	186851	353181
173	187754	351770
174	188768	350570
175	189963	349705
176	191071	348677
177	192228	347740
178	193497	346999
179	194701	346135
180	195840	345155
181	197192	344545
182	198316	343531
183	199652	342880
184	200635	341622
185	201671	340455
186	202850	339530
187	204010	338570
188	205042	337398
189	206025	336146
190	207083	335019
191	208231	334038
192	209306	332937
193	210391	331854
194	211325	330534
195	212250	329204
196	213273	328029
197	214557	327254
198	215759	326350
199	216838	325257
200	217992	324277
201	218954	323012
202	220177	322132
203	221420	321277
204	222882	320733
205	223797	319400
206	224946	318402
207	226024	317303
208	227126	316238
209	228265	315224
210	229324	314098
211	230422	313027
212	231689	312182
213	232634	310904
214	233682	309764
215	234583	308433
216	235994	307771
217	237055	306649
218	238180	305610
219	239120	304335
220	240401	303493
221	241489	302405
222	242563	301301
223	243896	300514
224	245172	299655
225	246301	298613
226	247385	297516
227	248464	296414
228	249677	295470
229	250826	294448
230	251824	293250
231	252922	292168
232	254008	291073
233	255125	290014
234	256198	288904
235	257194	287709
236	257837	286123
237	258824	284924
238	260144	284091
239	261243	283013
240	262653	282270
241	263731	281168
242	264904	280166
243	265862	278937
244	266737	277624
245	267868	276579
246	268676	275203
247	270114	274471
248	271025	273202
249	271926	271926
250	272959	270784
251	273949	269600
252	274950	268429
253	276026	267333
254	277027	266163
255	277957	264928
256	279073	263871
257	279957	262595
258	280931	261407
259	282168	260463
260	283266	259389
261	284195	258162
262	285509	257284
263	286303	255938
264	287561	255007
265	288756	254018
266	289810	252906
267	290781	251721
268	291748	250535
269	292924	249528
270	293926	248373
271	294955	247241
272	296162	246259
273	297276	245198
274	298428	244168
275	299328	242933
276	300141	241630
277	301235	240555
278	302302	239458
279	303549	238502
280	304680	237455
281	305959	236521
282	306985	235391
283	308153	234370
284	309229	233278
285	310326	232202
286	311309	231041
287	312264	229861
288	313168	228645
289	314406	227673
290	315745	226772
291	316897	225734
292	318038	224689
293	319056	223556
294	320224	222528
295	321121	221313
296	322370	220340
297	323132	219036
298	324132	217895
299	325182	216788
300	325932	215483
301	327098	214455
302	328170	213365
303	329201	212248
304	330079	211034
305	331114	209922
306	332183	208831
307	333183	207698
308	334132	206535
309	335200	205445
310	336361	204412
311	337204	203187
312	338217	202065
313	339303	200988
314	340250	199829
315	341116	198625
316	342177	197534
317	343033	196327
318	344140	195264
319	345164	194154
320	346206	193055
321	347293	191982
322	348335	190883
323	349239	189710
324	350369	188660
325	351377	187544
326	352449	186463
327	353580	185414
328	354570	184290
329	355616	183196
330	356905	182226
331	358009	181161
332	359245	180162
333	360197	179020
334	361208	177908
335	362078	176729
336	363087	175617
337	364167	174541
338	365173	173430
339	366517	172478
340	367488	171351
341	368574	170277
342	369595	169173
343	370489	168012
344	371614	166957
345	372529	165807
346	373733	164787
347	374800	163706
348	375864	162623
349	377007	161574
350	378074	160493
351	379205	159438
352	380300	158368
353	381337	157274
354	382398	156191
355	383421	155091
356	384542	154032
357	385790	153023
358	386908	151961
359	387886	150844
360	388854	149725
361	390015	148680
362	391037	147581
363	392158	146520
364	393138	145407
365	394320	144368
366	395537	143342
367	396360	142172
368	397645	141169
369	398557	140033
370	399509	138913
371	400618	137847
372	401622	136745
373	402607	135637
374	403622	134540
375	404459	133385
376	405593	132328
377	406559	131217
378	407669	130153
379	408585	129026
380	409632	127942
381	410621	126841
382	411608	125739
383	412767	124690
384	413873	123624
385	414890	122532
386	415863	121427
387	416833	120323
388	418007	119277
389	418752	118109
390	419813	117032
391	420919	115967
392	421982	114890
393	423158	113844
394	424250	112775
395	425368	111713
396	426553	110667
397	427747	109623
398	428790	108541
399	429864	107466
400	430748	106344
401	431878	105283
402	432810	104175
403	433776	103075
404	434850	102001
405	435949	100934
406	437198	99900
407	438263	98824
408	439356	97754
409	440381	96669
410	441712	95650
411	442676	94552
412	443842	93497
413	444999	92439
414	446101	91370
415	447152	90290
416	448222	89214
417	449021	88085
418	449958	86984
419	450885	85882
420	451854	84789
421	452867	83705
422	454018	82646
423	455112	81576
424	455786	80432
425	457039	79391
426	458132	78322
427	459287	77263
428	460594	76228
429	461726	75164
430	462550	74050
431	463815	73007
432	464810	71922
433	466021	70869
434	467152	69804
435	468517	68773
436	469408	67672
437	470891	66655
438	472017	65587
439	473056	64507
440	474029	63418
441	474854	62311
442	475900	61233
443	477040	60167
444	478163	59098
445	479099	58007
446	480362	56955
447	481522	55891
448	482475	54802
449	483476	53719
450	484477	52637
451	485362	51542
452	486489	50474
453	487668	49411
454	488736	48336
455	489833	47264
456	490892	46188
457	491950	45113
458	492935	44031
459	494122	42967
460	495093	41884
461	496108	40805
462	497229	39735
463	498150	38649
464	499286	37580
465	500256	36499
466	501187	35415
467	502421	34353
468	503618	33288
469	504978	32232
470	505810	31143
471	506876	30068
472	508050	29000
473	509139	27927
474	510142	26849
475	511244	25777
476	512328	24703
477	513529	23635
478	514621	22561
479	515802	21491
480	516917	20418
481	517838	19338
482	518816	18260
483	519991	17189
484	521158	16118
485	521913	15034
486	522871	13957
487	524230	12890
488	525257	11815
489	526328	10741
490	527219	9663
491	528564	8594
492	529409	7516
493	530324	6441
494	531401	5367
495	532380	4293
496	533447	3220
497	534628	2147
498	535727	1073
499	536717	0
