iter	Logloss
437	0.242906593
438	0.2428857032
439	0.2428325927
440	0.2428099308
441	0.2427518261
442	0.2427134119
443	0.2426766445
444	0.2426590842
445	0.2426036646
446	0.2425670046
447	0.2425251893
448	0.2425054451
449	0.2424519766
450	0.24231767
451	0.2422956525
452	0.2422761411
453	0.2422312827
454	0.242187552
455	0.2421342984
456	0.242052959
457	0.2420163348
458	0.2419662137
459	0.2419442141
460	0.2419085207
461	0.2418841045
462	0.2418499327
463	0.2418241024
464	0.2418024429
465	0.2417800496
466	0.241720477
467	0.2416988176
468	0.2416751174
469	0.2416523302
470	0.2416311362
471	0.2415998105
472	0.2415660861
473	0.2415330599
474	0.2414956123
475	0.2414726461
476	0.2414537433
477	0.2414260335
478	0.2414115162
479	0.2413627556
480	0.2413159102
481	0.2412544761
482	0.2412144687
483	0.2411690017
484	0.2411329324
485	0.2410837421
486	0.2410656269
487	0.2410110486
488	0.2409441728
489	0.2409273106
490	0.24086883
491	0.2408300577
492	0.2408124617
493	0.2408066261
494	0.2407551446
495	0.2407239084
496	0.2406934061
497	0.2406525753
498	0.240597639
499	0.2405663849
